27|FTBWND|2025-01-15|1882404815507|2025-01-15|2025-12-31 19:01:00.000000|1|PR5.UPGRD TO Z CLS IF SEAT AVAIL.NON-EXT/END.
27|UUTHFH|2025-03-16|1883556562499|2025-03-16|2025-12-11 01:23:00.000000|1|NON-END/REROUTE RESTRICTION APPLY
27|UUTHFH|2025-03-16|1883556562500|2025-03-16|2025-12-11 01:23:00.000000|1|NON-END/REROUTE RESTRICTION APPLY
27|ETXMMF|2025-03-17|1882104892425|2025-03-17|2026-01-01 05:39:00.000000|1|NON-END/REROUTE/RESTRICTION APPLY
27|ETXMMF|2025-03-17|1882104892426|2025-03-17|2026-01-01 05:39:00.000000|1|NON-END/REROUTE/RESTRICTION APPLY
27|ETXMMF|2025-03-17|1882104892427|2025-03-17|2026-01-01 05:39:00.000000|1|NON-END/REROUTE/RESTRICTION APPLY
27|ETXMMF|2025-03-17|1882104892424|2025-03-17|2026-01-01 05:39:00.000000|1|NON-END/REROUTE/RESTRICTION APPLY
27|FOINOX|2025-03-17|1882104893227|2025-03-17|2025-12-31 23:22:00.000000|1|NON-END/REROUTE/RESTRICTION APPLY
27|FOINOX|2025-03-17|1882104893225|2025-03-17|2025-12-31 23:22:00.000000|1|NON-END/REROUTE/RESTRICTION APPLY
27|FOINOX|2025-03-17|1882104893226|2025-03-17|2025-12-31 23:22:00.000000|1|NON-END/REROUTE/RESTRICTION APPLY
27|FOINOX|2025-03-17|1882104893224|2025-03-17|2025-12-31 23:22:00.000000|1|NON-END/REROUTE/RESTRICTION APPLY
27|JOFUED|2025-03-18|1889590575047|2025-03-18|2025-08-03 16:36:00.000000|1|NON-END/REROUTE RESTRICTION APPLY
27|JOFUED|2025-03-18|1889590575048|2025-03-18|2025-08-03 16:36:00.000000|1|NON-END/REROUTE RESTRICTION APPLY
27|AMORYD|2025-03-22|1882805125216|2025-03-22|2025-12-05 15:32:00.000000|1|NON-END/REROUTE/RESTRICTION APPLY
27|AMORYD|2025-03-22|1882805125217|2025-03-22|2025-12-05 15:41:00.000000|1|NON-END/REROUTE/RESTRICTION APPLY
27|AMORYD|2025-03-22|1882805125213|2025-03-22|2025-12-05 15:30:00.000000|1|NON-END/REROUTE/RESTRICTION APPLY
27|AMORYD|2025-03-22|1882805125214|2025-03-22|2025-12-05 15:31:00.000000|1|NON-END/REROUTE/RESTRICTION APPLY
27|AMORYD|2025-03-22|1882805125215|2025-03-22|2025-12-05 15:31:00.000000|1|NON-END/REROUTE/RESTRICTION APPLY
27|HLXATS|2025-03-21|1883470902058|2025-03-22|2025-12-31 23:17:00.000000|1|NON-END/REROUTE RESTRICTION APPLY
27|HLXATS|2025-03-21|1883470902057|2025-03-22|2025-12-31 23:17:00.000000|1|NON-END/REROUTE RESTRICTION APPLY
27|HLXATS|2025-03-21|1883470902059|2025-03-22|2025-12-31 23:17:00.000000|1|NON-END/REROUTE RESTRICTION APPLY
27|FENYFJ|2025-03-23|1882104899943|2025-03-23|2025-12-31 23:21:00.000000|1|NON-END/REROUTE/RESTRICTION APPLY
27|FENYFJ|2025-03-23|1882104899942|2025-03-23|2025-12-31 23:21:00.000000|1|NON-END/REROUTE/RESTRICTION APPLY
27|GGPYPL|2025-03-30|7387284700602|2025-03-30|2026-01-01 01:37:00.000000|1|NON-END.RESTRICT MAY APPLY CONTACT B4 DEPT FOR CHANGE
27|GGPYPL|2025-03-30|7387284700601|2025-03-30|2026-01-01 01:37:00.000000|1|NON-END.RESTRICT MAY APPLY CONTACT B4 DEPT FOR CHANGE
27|GGPYPL|2025-03-30|7387284700600|2025-03-30|2026-01-01 01:37:00.000000|1|NON-END.RESTRICT MAY APPLY CONTACT B4 DEPT FOR CHANGE
27|GGPYPL|2025-03-30|7387284700603|2025-03-30|2026-01-01 01:37:00.000000|1|NON-END.RESTRICT MAY APPLY CONTACT B4 DEPT FOR CHANGE
27|CXWHWD|2025-04-01|1882804506315|2025-04-01|2026-01-01 03:21:00.000000|1|NON-END/REROUTE/RESTRICTION APPLY
27|CXWHWD|2025-04-01|1882804506316|2025-04-01|2026-01-01 03:21:00.000000|1|NON-END/REROUTE/RESTRICTION APPLY
27|UMKISH|2025-03-26|7383471235843|2025-04-03|2026-01-01 03:21:00.000000|1|NON-END. RESTRICTIONS MAY APPLY
27|UMKISH|2025-03-26|7383471235844|2025-04-03|2026-01-01 03:21:00.000000|1|NON-END. RESTRICTIONS MAY APPLY
27|WUKSEE|2025-04-04|1885604568953|2025-04-04|2026-01-01 03:21:00.000000|1|NON-END/REROUTERESTRICTION APPLY
27|WUKSEE|2025-04-04|1885604568954|2025-04-04|2026-01-01 03:21:00.000000|1|NON-END/REROUTERESTRICTION APPLY
27|FPUILV|2025-04-07|1886370436104|2025-04-07|2026-01-01 03:21:00.000000|1|NON-END/REROUTE/RESTRICTION APPLY
27|FPUILV|2025-04-07|1886370436105|2025-04-07|2026-01-01 03:21:00.000000|1|NON-END/REROUTE/RESTRICTION APPLY
27|FPUILV|2025-04-07|1886370436102|2025-04-07|2026-01-01 03:21:00.000000|1|NON-END/REROUTE/RESTRICTION APPLY
27|FPUILV|2025-04-07|1886370436103|2025-04-07|2026-01-01 03:21:00.000000|1|NON-END/REROUTE/RESTRICTION APPLY
27|YVDNAM|2025-04-13|1883096246276|2025-04-13|2025-08-29 16:12:00.000000|1|NON-END/REROUTE/RESTRICTION APPLY
27|YVDNAM|2025-04-13|1883096246275|2025-04-13|2025-08-29 16:12:00.000000|1|NON-END/REROUTE/RESTRICTION APPLY
27|QIHMPO|2025-04-17|1885604695555|2025-04-17|2025-08-25 01:42:00.000000|1|NON-END/REROUTERESTRICTION APPLY
27|QIHMPO|2025-04-17|1885604695556|2025-04-17|2025-08-25 01:42:00.000000|1|NON-END/REROUTERESTRICTION APPLY
27|QIHMPO|2025-04-17|1885604695557|2025-04-17|2025-08-25 01:42:00.000000|1|NON-END/REROUTERESTRICTION APPLY
27|IAWUWL|2025-04-19|1762837434071|2025-04-19|2025-12-31 09:35:00.000000|1|NON-END/FLEX
27|IAWUWL|2025-04-19|1762837434072|2025-04-19|2025-12-31 09:35:00.000000|1|NON-END/FLEX
27|OUMQHU|2025-03-24|1882404929052|2025-04-20|2025-12-31 23:21:00.000000|1|NON-END/REROUTE/RESTRICTION APPLY/ TICKET KLN
27|OUMQHU|2025-03-24|1882404929053|2025-04-20|2025-12-31 23:21:00.000000|1|NON-END/REROUTE/RESTRICTION APPLY/ TICKET KLN
27|EYITVC|2025-04-19|1883060303089|2025-04-22|2025-08-06 00:05:00.000000|1|NON-END/REROUTE/RESTRICTION APPLY
27|QSIGAZ|2025-04-22|1882803903968|2025-04-22|2026-01-01 03:21:00.000000|1|NON-END/REROUTERESTRICTION APPLY
27|QSIGAZ|2025-04-22|1882803903969|2025-04-22|2026-01-01 03:21:00.000000|1|NON-END/REROUTERESTRICTION APPLY
27|QSRRPB|2025-04-18|1882803903971|2025-04-22|2025-08-06 00:25:00.000000|1|NON-END/REROUTERESTRICTION APPLY
27|QSRRPB|2025-04-18|1882803903970|2025-04-22|2025-08-06 00:25:00.000000|1|NON-END/REROUTERESTRICTION APPLY
27|NSYFFP|2025-04-25|1882104934330|2025-04-25|2025-12-31 23:31:00.000000|1|NON-END/REROUTE/RESTRICTION APPLY
27|NSYFFP|2025-04-25|1882104934331|2025-04-25|2025-12-31 23:31:00.000000|1|NON-END/REROUTE/RESTRICTION APPLY
27|NWVDKM|2025-04-24|1882404933927|2025-04-25|2026-01-01 01:40:00.000000|1|NON-END/REROUTE/RESTRICTION APPLY/
27|NWVDKM|2025-04-24|1882404933926|2025-04-25|2026-01-01 01:40:00.000000|1|NON-END/REROUTE/RESTRICTION APPLY
27|NWVDKM|2025-04-24|1882404933931|2025-04-25|2026-01-01 01:40:00.000000|1|NON-END/REROUTE/RESTRICTION APPLY/
27|NWVDKM|2025-04-24|1882404933930|2025-04-25|2026-01-01 01:40:00.000000|1|NON-END/REROUTE/RESTRICTION APPLY/
27|NWVDKM|2025-04-24|1882404933928|2025-04-25|2026-01-01 01:40:00.000000|1|NON-END/REROUTE/RESTRICTION APPLY/
27|AVSUCY|2025-04-17|1882803918584|2025-04-29|2026-01-01 05:39:00.000000|1|NON-END/REROUTERESTRICTION APPLY
27|AVSUCY|2025-04-17|1882803918582|2025-04-29|2026-01-01 05:39:00.000000|1|NON-END/REROUTERESTRICTION APPLY
27|AVSUCY|2025-04-17|1882803918586|2025-04-29|2026-01-01 05:39:00.000000|1|NON-END/REROUTERESTRICTION APPLY
27|AVSUCY|2025-04-17|1882803918585|2025-04-29|2026-01-01 05:39:00.000000|1|NON-END/REROUTERESTRICTION APPLY
27|AVSUCY|2025-04-17|1882803918583|2025-04-29|2026-01-01 05:39:00.000000|1|NON-END/REROUTERESTRICTION APPLY
27|KVASKE|2025-05-01|1882817016564|2025-05-01|2025-08-29 16:55:00.000000|1|NON-END/REROUTE/RESTRICTION APPLY
27|KVASKE|2025-05-01|1882817016566|2025-05-01|2025-08-29 16:55:00.000000|1|NON-END/REROUTE/RESTRICTION APPLY
27|KVASKE|2025-05-01|1882817016565|2025-05-01|2025-08-29 16:55:00.000000|1|NON-END/REROUTE/RESTRICTION APPLY
27|FUHEAI|2025-05-02|1882104940732|2025-05-02|2026-01-01 06:43:00.000000|1|NON-END/REROUTE/RESTRICTION APPLY
27|FUHEAI|2025-05-02|1882104940733|2025-05-02|2026-01-01 06:43:00.000000|1|NON-END/REROUTE/RESTRICTION APPLY
27|DDHHRW|2025-05-07|1881403122162|2025-05-07|2025-09-16 22:32:00.000000|1|NON-END/REROUTE RESTRICTION APPLY
27|DDHHRW|2025-05-07|1881403122161|2025-05-07|2025-09-16 22:31:00.000000|1|NON-END/REROUTE RESTRICTION APPLY
27|DDHHRW|2025-05-07|1881403122160|2025-05-07|2025-09-16 22:31:00.000000|1|NON-END/REROUTE RESTRICTION APPLY
27|DDHHRW|2025-05-07|1881403122163|2025-05-07|2025-09-16 22:32:00.000000|1|NON-END/REROUTE RESTRICTION APPLY
27|DDHHRW|2025-05-07|1881403122159|2025-05-07|2025-09-16 22:31:00.000000|1|NON-END/REROUTE RESTRICTION APPLY
27|DVEADT|2025-05-07|1885457911889|2025-05-07|2026-01-01 01:37:00.000000|1|NON-END/REROUTE/RESTRICTION APPLY
27|DVEADT|2025-05-07|1885457911890|2025-05-07|2026-01-01 01:37:00.000000|1|NON-END/REROUTE/RESTRICTION APPLY
27|NYTRPB|2025-05-07|1882817024807|2025-05-07|2025-12-31 23:17:00.000000|1|NON-END/REROUTE/RESTRICTION APPLY
27|NYTRPB|2025-05-07|1882817024808|2025-05-07|2025-12-31 23:17:00.000000|1|NON-END/REROUTE/RESTRICTION APPLY
27|NYTRPB|2025-05-07|1882817024806|2025-05-07|2025-12-31 23:17:00.000000|1|NON-END/REROUTE/RESTRICTION APPLY
27|IWISIE|2025-05-08|7382876868340|2025-05-08|2025-12-31 23:03:00.000000|1|NON-END.RESTRICT MAY APPLY CONTACT B4 DEPT FOR CHANGE
27|IWISIE|2025-05-08|7382876868341|2025-05-08|2025-12-31 23:03:00.000000|1|NON-END.RESTRICT MAY APPLY CONTACT B4 DEPT FOR CHANGE
27|AQNWLX|2025-05-10|1883591149336|2025-05-10|2025-08-24 01:24:00.000000|1|NON-END/REROUTE/REFUND/NON-REBOOK/EXTEND
27|AUAHKJ|2025-05-10|1883591149343|2025-05-10|2025-12-31 22:38:00.000000|1|NON-END/REROUTE/REFUND/NON-REBOOK/EXTEND
27|EIQXOM|2025-05-10|1883591149342|2025-05-10|2025-08-24 00:09:00.000000|1|NON-END/REROUTE/REFUND/NON-REBOOK/EXTEND
27|EYDPSS|2025-05-10|1885604743351|2025-05-10|2026-01-01 00:53:00.000000|1|NON-END/REROUTE/REFUNDNON-REBOOK/EXTEND
27|EYDPSS|2025-05-10|1885604743350|2025-05-10|2026-01-01 00:53:00.000000|1|NON-END/REROUTE/REFUNDNON-REBOOK/EXTEND
27|LMFRLH|2025-05-10|1883591149335|2025-05-10|2025-08-24 02:58:00.000000|1|NON-END/REROUTE/REFUND/NON-REBOOK/EXTEND
27|NBYTHU|2025-05-10|1883591149344|2025-05-10|2025-08-24 01:36:00.000000|1|NON-END/REROUTE/REFUND/NON-REBOOK/EXTEND
27|NBYTHU|2025-05-10|1883591149345|2025-05-10|2025-08-24 01:36:00.000000|1|NON-END/REROUTE/REFUND/NON-REBOOK/EXTEND
27|KPMKEN|2025-05-11|1882805195409|2025-05-11|2025-12-31 23:21:00.000000|1|NON-END/REROUTE/RESTRICTION APPLY
27|KPMKEN|2025-05-11|1882805195410|2025-05-11|2025-12-31 23:21:00.000000|1|NON-END/REROUTE/RESTRICTION APPLY
27|KPMKEN|2025-05-11|1882805195412|2025-05-11|2025-12-31 23:21:00.000000|1|NON-END/REROUTE/RESTRICTION APPLY
27|KPMKEN|2025-05-11|1882805195411|2025-05-11|2025-12-31 23:21:00.000000|1|NON-END/REROUTE/RESTRICTION APPLY
27|GXNOFG|2025-05-12|1883557044817|2025-05-12|2025-12-31 23:28:00.000000|1|NON-END/REROUTE/REFUND NON-REBOOK/EXTEND
27|GXNOFG|2025-05-12|1883557044818|2025-05-12|2025-12-31 23:28:00.000000|1|NON-END/REROUTE/REFUND NON-REBOOK/EXTEND
27|NVRSRG|2025-04-28|1697307433430|2025-05-12|2026-01-01 00:28:00.000000|1|NON-END/REROUTE/RESTRICTION APPLY
27|NVRSRG|2025-04-28|1697307433429|2025-05-12|2026-01-01 00:28:00.000000|1|NON-END/REROUTE/RESTRICTION APPLY
27|CXWGJS|2025-05-13|2052425087163|2025-05-13|2025-12-31 18:02:00.000000|1|/C1-6 FLT/CNX/CHG RESTRICTED CHECK FARE RULE
27|YLIFMK|2025-05-13|1883557062829|2025-05-13|2025-08-29 06:56:00.000000|1|NON-END/REROUTE/REFUND NON-REBOOK/EXTEND
27|YLIFMK|2025-05-13|1883557062830|2025-05-13|2025-08-29 06:56:00.000000|1|NON-END/REROUTE/REFUND NON-REBOOK/EXTEND
27|KXHXGK|2025-05-14|1882817034537|2025-05-14|2025-08-29 08:15:00.000000|1|NON-END/REROUTE/RESTRICTION APPLY
27|KXHXGK|2025-05-14|1882817034538|2025-05-14|2025-08-29 08:15:00.000000|1|NON-END/REROUTE/RESTRICTION APPLY
27|GTGJUJ|2025-05-15|1882104952920|2025-05-15|2025-12-31 02:19:00.000000|1|NON-REBOOK/EXTEND/NON-END/REROUTE/REFUND
27|GTGJUJ|2025-05-15|1882104952919|2025-05-15|2025-12-31 02:19:00.000000|1|NON-REBOOK/EXTEND/NON-END/REROUTE/REFUND
